Key,Type
SpectrometerTrackCorrections,TDirectoryFile
LKrClusterCorrections,TDirectoryFile
SpectrometerANTI0Association,TDirectoryFile
SpectrometerCHANTIAssociation,TDirectoryFile
SpectrometerCHODAssociation,TDirectoryFile
SpectrometerCalorimetersAssociation,TDirectoryFile
SpectrometerNewCHODAssociation,TDirectoryFile
SpectrometerLKrAssociation,TDirectoryFile
SpectrometerMUV0Association,TDirectoryFile
SpectrometerMUV12Association,TDirectoryFile
SpectrometerMUV3Association,TDirectoryFile
SpectrometerRICHAssociationSingleRing,TDirectoryFile
SpectrometerRICHAssociationTrackCentredRing,TDirectoryFile
DownstreamTrackBuilder,TDirectoryFile
LKrSpectrometerAssociation,TDirectoryFile
EnergyClusterBuilder,TDirectoryFile
PhotonVetoHandler,TDirectoryFile
ParticleCandidateBuilder,TDirectoryFile
ParticlesEvents,TTree
fVirtualMemoryVsEvent,TGraph
fVirtualMemoryVsTime,TGraph
fResidentMemoryVsEvent,TGraph
fResidentMemoryVsTime,TGraph
Streams,TTree
BadEventsMonitorMasked,TH1F
BadEventsMonitorTotal,TH1F
BadEventsMonitorExclusive,TH1F
EventsTotal_Burst,TH1F
EventsTotal_Burst_TS,TH2F
EventsTotal_Int,TH1F
BadEventsTotal_Burst,TH1F
BadEventsCommon_Burst,TH1F
BadEventsRICH_Burst_TS,TH2F
BadEventsKTAG_Burst_TS,TH2F
BadEventsSpectrometer_Burst_TS,TH2F
BadEventsGigatracker_Burst_TS,TH2F
BadEventsTotalBit_Burst,TH2F
BadEventsTotalBit_Int,TH2F
BadEventsExclusiveBit_Burst,TH2F
